,comname,sciname,entity_id,pubdate,listing_st,url_img
2,Llanero Coqui,Eleutherodactylus juanariveroi,9378,20121004,Endangered,https://upload.wikimedia.org/wikipedia/commons/8/87/CoquiLlanero.jpg
4,Yellowfin madtom,Noturus flavipinnis,247,19770922,Threatened,https://upload.wikimedia.org/wikipedia/commons/2/2f/Noturus_flavipinnis.jpg
9,Gila chub,Gila intermedia,6297,20051102,Endangered,https://upload.wikimedia.org/wikipedia/commons/7/7e/Gila_intermedia_Gratwicke.jpg
20,Maui parrotbill (Kiwikiu),Pseudonestor xanthophrys,81,20160330,Endangered,https://upload.wikimedia.org/wikipedia/commons/6/6f/Kiwikiu_perched_in_the_Waikamoi_Forest_Preserve.jpg
27,Tumbling Creek cavesnail,Antrobia culveri,406,20110628,Endangered,https://upload.wikimedia.org/wikipedia/commons/e/ed/Antrobia_culveri.jpg
30,Amargosa vole,Microtus californicus scirpensis,28,19841115,Endangered,https://upload.wikimedia.org/wikipedia/commons/f/f5/-conservationlands15_Social_Media_Takeover%2C_July_15th%2C_Wild_and_Scenic_Rivers_%2819701741428%29.jpg
34,Oregon spotted frog,Rana pretiosa,4090,20160511,Threatened,https://upload.wikimedia.org/wikipedia/commons/8/87/USFWSOregonSpottedFrogPhoto.jpg
41,Whorled Sunflower,Helianthus verticillatus,1881,20140826,Endangered,https://upload.wikimedia.org/wikipedia/commons/4/40/Sunflower_sky_backdrop.jpg
45,Piping Plover,Charadrius melodus,131,20090519,Threatened,https://upload.wikimedia.org/wikipedia/commons/0/0b/Charadrius-melodus-004_edit.jpg
49,White sturgeon,Acipenser transmontanus,314,20080709,Endangered,https://upload.wikimedia.org/wikipedia/commons/3/35/4803_white_sturgeon_swart_odfw_%284455050144%29.jpg
50,Woundfin,Plagopterus argentissimus,234,20000126,Endangered,https://upload.wikimedia.org/wikipedia/commons/b/b5/Woundfin_%28Plagopterus_argentissimus%29.jpg
53,Marbled murrelet,Brachyramphus marmoratus,143,20160804,Threatened,https://upload.wikimedia.org/wikipedia/commons/8/8f/Marbled_murrelet.jpg
55,Chiricahua leopard frog,Rana chiricahuensis,206,20120320,Threatened,https://upload.wikimedia.org/wikipedia/commons/d/db/Chiricahua_leopard_frog_01.jpg
57,Rio Grande Silvery Minnow,Hybognathus amarus,309,20030219,Endangered,https://upload.wikimedia.org/wikipedia/commons/4/40/Rio_Grande_silvery_minnow_2.jpg
58,Arkansas River shiner,Notropis girardi,299,20051013,Threatened,https://upload.wikimedia.org/wikipedia/commons/b/bc/Notropis_girardi.jpg
60,California tiger Salamander,Ambystoma californiense,203,20110831,Endangered,https://upload.wikimedia.org/wikipedia/commons/c/ce/California_Tiger_Salamander.jpg
62,Peninsular bighorn sheep,Ovis canadensis nelsoni,56,20090414,Endangered,https://upload.wikimedia.org/wikipedia/commons/4/47/Desert_Bighorn_Barna_Cropped.jpg
64,Razorback sucker,Xyrauchen texanus,290,19940321,Endangered,https://upload.wikimedia.org/wikipedia/commons/6/60/Xyrauchen_texanus.jpg
70,California condor,Gymnogyps californianus,66,19770922,Endangered,https://upload.wikimedia.org/wikipedia/commons/1/11/California-condor-gymnogyps-californianus-078_%2821196759264%29.jpg
71,California tiger Salamander,Ambystoma californiense,8395,20041124,Endangered,https://upload.wikimedia.org/wikipedia/commons/c/ce/California_Tiger_Salamander.jpg
76,Canada Lynx,Lynx canadensis,24,20140912,Threatened,https://upload.wikimedia.org/wikipedia/commons/1/1a/Canada_lynx_by_Michael_Zahra_%28cropped%29.jpg
